run_label,part_index,variant_index,ObjectID,NiceName,Category,SubCategory,ModelName,SnapGroups,LikelyRole,FBXPath,variant,spawn_success,object_name,type,location,rotation_euler_degrees,scale,dimensions_property,custom_ObjectID,custom_SnapID,custom_UserData,snapped_to_present,snapped_to,readonly_Material,readonly_Colour,local_bbox_min,local_bbox_max,local_bbox_size,local_bbox_center,world_bbox_min,world_bbox_max,world_bbox_size,world_bbox_center,local_origin_offset_from_bbox_center,world_origin_offset_from_bbox_center,local_bottom_offset_z,local_top_offset_z,world_bottom_offset_from_origin_z,world_top_offset_from_origin_z,expected_extent_xyz,sorted_extent_delta_max,extent_match_0p02,extent_match_0p10
NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,0,1,ABAND_BARREL,INDUSTRIAL BARREL,Furnishings,Derelict Freighter Salvage,ABAND_BARREL,PROPS,prop/detail or unclassified,models/freighter/ABAND_BARREL.fbx,ABS_RX90,True,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02_ABAND_BARREL_ABS_RX90,MESH,"[0.0, 3.0, 0.0]","[90.000003, 0.0, 0.0]","[1.0, 1.0, 1.0]","[1.0, 1.766413, 0.951057]",ABAND_BARREL,ABAND_BARREL,0,False,,Legacy - Concrete,White & Orange,"[-0.5, 0.0, -0.475529]","[0.5, 1.766413, 0.475528]","[1.0, 1.766413, 0.951057]","[0.0, 0.883206, -0.0]","[-0.5, 2.524472, -0.0]","[0.5, 3.475529, 1.766413]","[1.0, 0.951057, 1.766413]","[0.0, 3.0, 0.883206]","[0.0, -0.883206, 0.0]","[0.0, -0.0, -0.883206]",-0.475529,0.475528,-0.0,1.766413,"[1.0, 1.766413, 0.951057]",0.0,True,True
NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,0,2,ABAND_BARREL,INDUSTRIAL BARREL,Furnishings,Derelict Freighter Salvage,ABAND_BARREL,PROPS,prop/detail or unclassified,models/freighter/ABAND_BARREL.fbx,ABS_RY90,True,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02_ABAND_BARREL_ABS_RY90,MESH,"[0.0, 6.0, 0.0]","[0.0, 90.000003, 0.0]","[1.0, 1.0, 1.0]","[1.0, 1.766413, 0.951057]",ABAND_BARREL,ABAND_BARREL,0,False,,Legacy - Concrete,White & Orange,"[-0.5, 0.0, -0.475529]","[0.5, 1.766413, 0.475528]","[1.0, 1.766413, 0.951057]","[0.0, 0.883206, -0.0]","[-0.475529, 6.0, -0.5]","[0.475528, 7.766413, 0.5]","[0.951057, 1.766413, 1.0]","[-0.0, 6.883206, 0.0]","[0.0, -0.883206, 0.0]","[0.0, -0.883206, 0.0]",-0.475529,0.475528,-0.5,0.5,"[1.0, 1.766413, 0.951057]",0.0,True,True
NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,0,3,ABAND_BARREL,INDUSTRIAL BARREL,Furnishings,Derelict Freighter Salvage,ABAND_BARREL,PROPS,prop/detail or unclassified,models/freighter/ABAND_BARREL.fbx,ABS_RZ90,True,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02_ABAND_BARREL_ABS_RZ90,MESH,"[0.0, 9.0, 0.0]","[0.0, 0.0, 90.000003]","[1.0, 1.0, 1.0]","[1.0, 1.766413, 0.951057]",ABAND_BARREL,ABAND_BARREL,0,False,,Legacy - Concrete,White & Orange,"[-0.5, 0.0, -0.475529]","[0.5, 1.766413, 0.475528]","[1.0, 1.766413, 0.951057]","[0.0, 0.883206, -0.0]","[-1.766413, 8.5, -0.475529]","[0.0, 9.5, 0.475528]","[1.766413, 1.0, 0.951057]","[-0.883206, 9.0, -0.0]","[0.0, -0.883206, 0.0]","[0.883206, 0.0, 0.0]",-0.475529,0.475528,-0.475529,0.475528,"[1.0, 1.766413, 0.951057]",0.0,True,True
NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,0,0,ABAND_BARREL,INDUSTRIAL BARREL,Furnishings,Derelict Freighter Salvage,ABAND_BARREL,PROPS,prop/detail or unclassified,models/freighter/ABAND_BARREL.fbx,DEFAULT,True,ABAND_BARREL,MESH,"[0.0, 0.0, 0.0]","[90.000207, 0.0, 0.0]","[1.0, 1.0, 1.0]","[1.0, 1.766413, 0.951057]",ABAND_BARREL,ABAND_BARREL,0,False,,Legacy - Concrete,White & Orange,"[-0.5, 0.0, -0.475529]","[0.5, 1.766413, 0.475528]","[1.0, 1.766413, 0.951057]","[0.0, 0.883206, -0.0]","[-0.5, -0.475534, -2e-06]","[0.5, 0.475529, 1.766415]","[1.0, 0.951063, 1.766416]","[0.0, -3e-06, 0.883206]","[0.0, -0.883206, 0.0]","[0.0, 3e-06, -0.883206]",-0.475529,0.475528,-2e-06,1.766415,"[1.0, 1.766413, 0.951057]",0.0,True,True
NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,0,4,ABAND_BARREL,INDUSTRIAL BARREL,Furnishings,Derelict Freighter Salvage,ABAND_BARREL,PROPS,prop/detail or unclassified,models/freighter/ABAND_BARREL.fbx,REL_X90,True,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02_ABAND_BARREL_REL_X90,MESH,"[0.0, 12.0, 0.0]","[-179.999786, -0.0, 0.0]","[1.0, 1.0, 1.0]","[1.0, 1.766413, 0.951057]",ABAND_BARREL,ABAND_BARREL,0,False,,Legacy - Concrete,White & Orange,"[-0.5, 0.0, -0.475529]","[0.5, 1.766413, 0.475528]","[1.0, 1.766413, 0.951057]","[0.0, 0.883206, -0.0]","[-0.5, 10.233585, -0.475535]","[0.5, 12.000002, 0.475529]","[1.0, 1.766417, 0.951064]","[0.0, 11.116794, -3e-06]","[0.0, -0.883206, 0.0]","[0.0, 0.883206, 3e-06]",-0.475529,0.475528,-0.475535,0.475529,"[1.0, 1.766413, 0.951057]",0.0,True,True
NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,0,5,ABAND_BARREL,INDUSTRIAL BARREL,Furnishings,Derelict Freighter Salvage,ABAND_BARREL,PROPS,prop/detail or unclassified,models/freighter/ABAND_BARREL.fbx,REL_Y90,True,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02_ABAND_BARREL_REL_Y90,MESH,"[0.0, 15.0, 0.0]","[90.000003, -0.000207, 90.000003]","[1.0, 1.0, 1.0]","[1.0, 1.766413, 0.951057]",ABAND_BARREL,ABAND_BARREL,0,False,,Legacy - Concrete,White & Orange,"[-0.5, 0.0, -0.475529]","[0.5, 1.766413, 0.475528]","[1.0, 1.766413, 0.951057]","[0.0, 0.883206, -0.0]","[-0.475529, 14.499993, -2e-06]","[0.475528, 15.5, 1.766415]","[0.951057, 1.000007, 1.766417]","[-0.0, 14.999997, 0.883206]","[0.0, -0.883206, 0.0]","[0.0, 3e-06, -0.883206]",-0.475529,0.475528,-2e-06,1.766415,"[1.0, 1.766413, 0.951057]",0.0,True,True
NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,0,6,ABAND_BARREL,INDUSTRIAL BARREL,Furnishings,Derelict Freighter Salvage,ABAND_BARREL,PROPS,prop/detail or unclassified,models/freighter/ABAND_BARREL.fbx,REL_Z90,True,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02_ABAND_BARREL_REL_Z90,MESH,"[0.0, 18.0, 0.0]","[90.000003, -89.999791, 0.0]","[1.0, 1.0, 1.0]","[1.0, 1.766413, 0.951057]",ABAND_BARREL,ABAND_BARREL,0,False,,Legacy - Concrete,White & Orange,"[-0.5, 0.0, -0.475529]","[0.5, 1.766413, 0.475528]","[1.0, 1.766413, 0.951057]","[0.0, 0.883206, -0.0]","[-1.766415, 17.524471, -0.5]","[2e-06, 18.475529, 0.500006]","[1.766417, 0.951057, 1.000006]","[-0.883206, 18.0, 3e-06]","[0.0, -0.883206, 0.0]","[0.883206, 0.0, -3e-06]",-0.475529,0.475528,-0.5,0.500006,"[1.0, 1.766413, 0.951057]",0.0,True,True
NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,0,7,ABAND_BARREL,INDUSTRIAL BARREL,Furnishings,Derelict Freighter Salvage,ABAND_BARREL,PROPS,prop/detail or unclassified,models/freighter/ABAND_BARREL.fbx,SCALE_050,True,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02_ABAND_BARREL_SCALE_050,MESH,"[0.0, 21.0, 0.0]","[90.000207, 0.0, 0.0]","[0.5, 0.5, 0.5]","[0.5, 0.883206, 0.475528]",ABAND_BARREL,ABAND_BARREL,0,False,,Legacy - Concrete,White & Orange,"[-0.5, 0.0, -0.475529]","[0.5, 1.766413, 0.475528]","[1.0, 1.766413, 0.951057]","[0.0, 0.883206, -0.0]","[-0.25, 20.762234, -1e-06]","[0.25, 21.237764, 0.883207]","[0.5, 0.475531, 0.883208]","[0.0, 20.999999, 0.441603]","[0.0, -0.883206, 0.0]","[0.0, 1e-06, -0.441603]",-0.475529,0.475528,-1e-06,0.883207,"[1.0, 1.766413, 0.951057]",0.0,True,True
NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,0,8,ABAND_BARREL,INDUSTRIAL BARREL,Furnishings,Derelict Freighter Salvage,ABAND_BARREL,PROPS,prop/detail or unclassified,models/freighter/ABAND_BARREL.fbx,SCALE_150,True,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02_ABAND_BARREL_SCALE_150,MESH,"[0.0, 24.0, 0.0]","[90.000207, 0.0, 0.0]","[1.5, 1.5, 1.5]","[1.5, 2.64962, 1.426585]",ABAND_BARREL,ABAND_BARREL,0,False,,Legacy - Concrete,White & Orange,"[-0.5, 0.0, -0.475529]","[0.5, 1.766413, 0.475528]","[1.0, 1.766413, 0.951057]","[0.0, 0.883206, -0.0]","[-0.75, 23.286699, -3e-06]","[0.75, 24.713293, 2.649622]","[1.5, 1.426594, 2.649625]","[0.0, 23.999996, 1.32481]","[0.0, -0.883206, 0.0]","[0.0, 4e-06, -1.32481]",-0.475529,0.475528,-3e-06,2.649622,"[1.0, 1.766413, 0.951057]",0.0,True,True
NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,0,9,ABAND_BARREL,INDUSTRIAL BARREL,Furnishings,Derelict Freighter Salvage,ABAND_BARREL,PROPS,prop/detail or unclassified,models/freighter/ABAND_BARREL.fbx,SCALE_200,True,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02_ABAND_BARREL_SCALE_200,MESH,"[0.0, 27.0, 0.0]","[90.000207, 0.0, 0.0]","[2.0, 2.0, 2.0]","[2.0, 3.532826, 1.902114]",ABAND_BARREL,ABAND_BARREL,0,False,,Legacy - Concrete,White & Orange,"[-0.5, 0.0, -0.475529]","[0.5, 1.766413, 0.475528]","[1.0, 1.766413, 0.951057]","[0.0, 0.883206, -0.0]","[-1.0, 26.048931, -3e-06]","[1.0, 27.951057, 3.532829]","[2.0, 1.902126, 3.532833]","[0.0, 26.999994, 1.766413]","[0.0, -0.883206, 0.0]","[0.0, 6e-06, -1.766413]",-0.475529,0.475528,-3e-06,3.532829,"[1.0, 1.766413, 0.951057]",0.0,True,True
